sample_id,winner,loser,winner_policy,loser_policy,winner_text,loser_text
0,1499.263693206478,1468.0354661910467,sup1,sup1, I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother ..., Mum is mad at me for not flying on my own trip to meet my boyfriend....
1,1531.9661669788793,1499.263693206478,ref,sup1, mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own...., I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother ...
2,1531.9661669788793,1500.734673623596,ref,sup1, mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own...., Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed beca...
3,1500.734673623596,1468.0354661910467,sup1,sup1, Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed beca..., Mum is mad at me for not flying on my own trip to meet my boyfriend....
4,1516.0,1484.0,ref,sup1," landlord pretended to be another tenant and wrote defamatory things on our wall, property managemen...", My landlord is harassing me and my neighbours with the same falsified leaflets that she has done in...
5,1531.263693206478,1468.736306793522,ref,sup2," Snooped, found something, should I admit what I found so we can have a more honest conversation abo..."," I snooped, we talked about it, she wants to work it out, I'm not sure.  Is the snooping worth it?..."
6,1529.86146177277,1468.736306793522,sup2,sup2," I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back ..."," I snooped, we talked about it, she wants to work it out, I'm not sure.  Is the snooping worth it?..."
7,1531.263693206478,1470.13853822723,ref,sup2," Snooped, found something, should I admit what I found so we can have a more honest conversation abo...", Opened up snooping and found a google search for a guy's name and views of his facebook profile.  G...
8,1529.86146177277,1470.13853822723,sup2,sup2," I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back ...", Opened up snooping and found a google search for a guy's name and views of his facebook profile.  G...
9,1516.0,1484.0,ref,sup2, Good girlfriend I'm just not happy don't know how to break up with her..., I want to break up with my girlfriend because I'm not happy but she thinks it's her fault. Should I...
10,1531.263693206478,1468.736306793522,sup2,ref, Being a feminist means you want equality and that both women and men should be treated equally. Bei...," I suppose I'm just worried, I'm worried that these minor few  are setting back an important and vit..."
11,1529.86146177277,1468.736306793522,sup2,ref," A movement that is supposed to be about equality has extremists who have made it a laughing stock, ..."," I suppose I'm just worried, I'm worried that these minor few  are setting back an important and vit..."
12,1531.263693206478,1470.13853822723,sup2,sup2, Being a feminist means you want equality and that both women and men should be treated equally. Bei..., If you want equality then you must hate men. If you want equality then you must hate women. If you ...
13,1529.86146177277,1470.13853822723,sup2,sup2," A movement that is supposed to be about equality has extremists who have made it a laughing stock, ...", If you want equality then you must hate men. If you want equality then you must hate women. If you ...
14,1516.0,1484.0,sup2,sup2, I need to ship my dog into the US but they say the health certificate is not needed and they don't ..., – I'm going to Canada with my dog in the next week and I need advice on what's required to get the ...
15,1545.8278203282016,1484.0,ref,sup2," Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I h..."," friend slept with a girl, asked her on a date, but he never told her that. She's very close to him,..."
16,1545.8278203282016,1484.736306793522,ref,sup3_6b," Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I h..."," I have a friend who has a new found attraction to me, and is pursuing to date the girl who was with..."
17,1545.8278203282016,1485.4358728782763,ref,sup2_bo8_rm1," Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I h..."," been sleeping with a friend, who has a close mutual friend, a week after he asked her on a date. He..."
18,1516.0,1484.0,sup2_bo8_rm1,sup3_6b," SO doesn't respect my car and is underage, should I be concerned?...", SO doesn't respect my car- but he does respect my car....
19,1516.0,1484.0,ref,sup2, boyfriend drives my car after having a few beers even after I've repeatedly asked him not to. I fee...," SO is underage and uses my car when driving, I want him to stop...."
20,1483.3314339533326,1468.0354661910467,ref,sup3, I am panicking about a Christmas present for my boyfriend and I need help...., I have no idea what a Christmas gift for my boyfriend is. What do I get?...
21,1531.9661669788793,1483.3314339533326,sup3_bo8_rm2,ref, I can't think of a gift for my boyfriend. He's a level-headed Atheist and gamer and I have no idea ..., I am panicking about a Christmas present for my boyfriend and I need help....
22,1531.9661669788793,1516.6669328767414,sup3_bo8_rm2,sup3_ppo_rm1, I can't think of a gift for my boyfriend. He's a level-headed Atheist and gamer and I have no idea ..., I want to get my boyfriend something that he will actually like for Christmas but am at a loss... D...
23,1516.6669328767414,1468.0354661910467,sup3_ppo_rm1,sup3, I want to get my boyfriend something that he will actually like for Christmas but am at a loss... D..., I have no idea what a Christmas gift for my boyfriend is. What do I get?...
24,1516.6669328767414,1483.3314339533326,sup3_ppo_rm1,ref, I want to get my boyfriend something that he will actually like for Christmas but am at a loss... D..., I am panicking about a Christmas present for my boyfriend and I need help....
25,1531.263693206478,1484.8008815868295,sup4_bo128_rm3,sup4_bo128_rm3," I want to leave my toxic ""family"" as soon as I turn 18, how would I go about this and how would I o...", 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyon...
26,1531.263693206478,1454.0739634339225,sup4_bo128_rm3,ref," I want to leave my toxic ""family"" as soon as I turn 18, how would I go about this and how would I o..."," I want to move out and cut contact with my ""family"" when I turn 18. How do I go about doing this?..."
27,1529.86146177277,1484.8008815868295,sup4_bo256_rm3,sup4_bo128_rm3, I'm a kid who has been emotionally and physically harmed by my family and want to be able to leave ..., 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyon...
28,1529.86146177277,1454.0739634339225,sup4_bo256_rm3,ref, I'm a kid who has been emotionally and physically harmed by my family and want to be able to leave ...," I want to move out and cut contact with my ""family"" when I turn 18. How do I go about doing this?..."
29,1484.8008815868295,1454.0739634339225,sup4_bo128_rm3,ref, 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyon...," I want to move out and cut contact with my ""family"" when I turn 18. How do I go about doing this?..."
30,1484.637960913621,1454.1721796717984,ref,sup4_ppo_rm3_kl10, we suspect other party involved of speeding when he hit me but I can't prove it without an investig..., car accident caused me 2-3m damage to my car both doors totally jammed and driving way faster than ...
31,1531.2976013366472,1454.1721796717984,sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10, had car accident on friday. other party involved was speeding and hit me. but because he denies res..., car accident caused me 2-3m damage to my car both doors totally jammed and driving way faster than ...
32,1531.2976013366472,1484.637960913621,sup4_ppo_rm3_kl10,ref, had car accident on friday. other party involved was speeding and hit me. but because he denies res..., we suspect other party involved of speeding when he hit me but I can't prove it without an investig...
33,1529.8922580779333,1454.1721796717984,sup4_6b_t0.7,sup4_ppo_rm3_kl10," I got a car crash involving another car, can i somehow get an investigation going about the speed i...", car accident caused me 2-3m damage to my car both doors totally jammed and driving way faster than ...
34,1529.8922580779333,1484.637960913621,sup4_6b_t0.7,ref," I got a car crash involving another car, can i somehow get an investigation going about the speed i...", we suspect other party involved of speeding when he hit me but I can't prove it without an investig...
35,1530.4968829087939,1516.7023986633528,sup4_t0.7,sup4_t0.7," I never dated/flirted as an adult, now I'm not sure how to date. Scared will grow old with many cat..."," Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do ..."
36,1516.7023986633528,1453.4694339567404,sup4_t0.7,sup4_t0.7," Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do ...", Don't know how to date/flirt/flirt with someone who has never been single. Scared and confused beca...
