Row,loser,winner
0,2.6975253111527415e-08,4.2381248238732435e-159
1,4.2381248238732435e-159,5.292277546302233e-07
2,1.9659303053350518e-81,5.292277546302233e-07
3,2.6975253111527415e-08,1.9659303053350518e-81
4,2.6901097721359717e-81,2.065376264171044e-05
5,3.4548489820501656e-10,0.0061164376678312
6,3.4548489820501656e-10,2.065376264171044e-05
7,2.6901097721359717e-81,0.0061164376678312
8,3.324999277080405e-162,3.069139032062298e-81
9,3.324999277080405e-162,3.828863823521807e-83
10,3.828863823521807e-83,1.5289684032146235e-81
11,3.069139032062298e-81,1.5289684032146235e-81
12,1.0064932300058696e-84,3.6222491886572847e-81
13,6.352125008904083e-90,3.6222491886572847e-81
14,6.352125008904083e-90,0.000421241594754
15,0.000421241594754,1.0064932300058696e-84
16,7.590785422226204e-159,1.7784508970740978e-07
17,0.0002739083259978,1.7784508970740978e-07
18,7.590785422226204e-159,0.0016605526159804
19,0.0002739083259978,0.0016605526159804
20,5.52170877325183e-157,4.773418075284579e-235
21,1.1530783293095375e-158,5.52170877325183e-157
22,1.7659296993826177e-160,1.1530783293095375e-158
23,1.7659296993826177e-160,4.773418075284579e-235
24,0.0083009787469012,1.1024726297601323e-156
25,4.890192858702585e-255,1.1024726297601323e-156
26,2.1880964301958246e-80,0.0083009787469012
27,4.890192858702585e-255,2.1880964301958246e-80
28,1.3194982160100925e-159,2.482548644183261e-158
29,3.0764130366540516e-82,3.501517438779954e-157
30,1.3194982160100925e-159,3.501517438779954e-157
31,3.0764130366540516e-82,2.482548644183261e-158
32,1.086628080360318e-161,6.44802155756602e-160
33,1.086628080360318e-161,2.873430164608334e-160
34,2.873430164608334e-160,0.000562666036659
35,6.44802155756602e-160,0.000562666036659
36,5.803617857515783e-05,8.785690972268377e-07
37,1.0681965248074115e-159,0.0004614584053637
38,1.0681965248074115e-159,5.803617857515783e-05
39,0.0004614584053637,8.785690972268377e-07
40,0.0002599540133154,8.049501620713666e-235
41,1.756068755637875e-92,7.781292959820255e-158
42,1.756068755637875e-92,8.049501620713666e-235
43,0.0002599540133154,7.781292959820255e-158
44,0.0006574031439544,1.8352889562890828e-06
45,4.716018104065514e-85,0.0042069930255884
46,4.716018104065514e-85,1.8352889562890828e-06
47,0.0006574031439544,0.0042069930255884
48,2.6710912708866337e-176,2.539683230146367e-05
49,1.0054272973563753e-81,2.4934988529861142e-80
50,2.6710912708866337e-176,2.4934988529861142e-80
51,1.0054272973563753e-81,2.539683230146367e-05
52,4.040708374582717e-83,4.509114128766536e-05
53,4.040708374582717e-83,0.0077253155833324
54,4.509114128766536e-05,2.7110101868877383e-160
55,0.0077253155833324,2.7110101868877383e-160
56,1.548554068999241e-82,3.886075818942797e-160
57,3.246397069115173e-157,3.886075818942797e-160
58,1.0310825420397932e-05,3.246397069115173e-157
