Row,Aadarsh,Ashlin,Kuldeep,Maryam,Nate,Riley,Spencer,llama2,llama3,mistral
0,0.6666666666666666,0.5,0.0,0.0,0.25,1.0,0.0,0.0,0.5,0.5
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
4,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0.1111111111111111,0.0,1.0,0.0,0.1666666666666666,0.1428571428571428,0.0,0.0,0.0,0.0
6,0.5,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.0,0.0
7,1.0,0.1818181818181818,0.1,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1,0.1,0.1
8,0.25,0.3333333333333333,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
9,0.8,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0.0,0.0,1.0,0.0,0.0555555555555555,0.0,0.0714285714285714,0.0,0.0,0.0
13,0.0,0.2,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,0.375,0.4285714285714285,1.0,0.25,0.5,0.0,0.5,0.0,0.1111111111111111,0.1111111111111111
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
