Row,Aadarsh,Ashlin,Kuldeep,Maryam,Nate,Riley,Spencer,llama2,llama3,mistral
0,0.6666666666666666,0.5,0.5,0.5,0.25,1.0,0.3333333333333333,0.0,0.5,0.5
1,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.3333333333333333,0.3333333333333333
2,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,0.5,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.0
4,0.5,0.5,0.25,0.6666666666666666,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
5,0.2222222222222222,0.0,1.0,0.0,0.1666666666666666,0.2857142857142857,0.0,0.0,0.0,0.0
6,0.5,0.3333333333333333,0.25,1.0,0.25,0.4,0.25,0.0,0.0,0.0
7,1.0,0.4545454545454545,0.3,0.5,0.4,0.4,0.3333333333333333,0.3,0.2,0.2
8,0.25,0.3333333333333333,1.0,0.3333333333333333,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,0.8,0.0,0.0,1.0,0.4444444444444444,0.75,0.1,0.0,0.0,0.0
10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
11,0.6666666666666666,0.0,0.3333333333333333,0.5,0.25,1.0,0.25,0.0,0.3333333333333333,0.3333333333333333
12,0.1333333333333333,0.1875,1.0,0.1,0.1666666666666666,0.3333333333333333,0.0714285714285714,0.25,0.1875,0.1875
13,0.0,0.4,0.4,0.8,0.4,1.0,0.0,0.2727272727272727,0.2857142857142857,0.2857142857142857
14,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0
15,0.5,0.0,0.5,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0
16,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5
18,0.375,0.4285714285714285,1.0,0.5,0.5,0.5,0.5,0.2,0.3333333333333333,0.3333333333333333
19,0.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5
