Row,Aadarsh,Ashlin,Kuldeep,Maryam,Nate,Riley,Spencer,llama2,llama3,mistral
0,0.6666666666666666,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.0,0.5,0.5
1,0.0,1.0,0.5,0.25,0.0,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333
2,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,0.5,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.5
4,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.3333333333333333,0.0,0.5,0.5
5,0.2222222222222222,0.0,1.0,0.1666666666666666,0.3333333333333333,0.4285714285714285,0.0,0.0,0.0,0.0
6,0.5,0.5,0.25,1.0,0.25,0.8,0.25,0.0,0.0,0.0
7,1.0,1.181818181818182,0.8,1.0,1.2,0.6,0.6666666666666666,1.3,1.1,1.1
8,0.25,0.3333333333333333,1.0,0.3333333333333333,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,0.8,0.4444444444444444,0.625,1.0,0.4444444444444444,0.75,0.4,0.1666666666666666,0.3636363636363636,0.3636363636363636
10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
11,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.25,0.0,0.3333333333333333,0.3333333333333333
12,0.5333333333333333,0.625,1.5454545454545454,0.35,0.3888888888888889,1.3333333333333333,0.4285714285714285,1.125,0.8125,0.8125
13,0.8,0.4,0.4,0.8,0.4,1.0,0.4,0.6363636363636364,0.5714285714285714,0.5714285714285714
14,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
15,0.5,0.5,0.5,0.3333333333333333,1.0,0.5,1.0,0.0,0.0,0.0
16,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0
17,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5
18,0.375,0.4285714285714285,1.0,0.5,0.5,0.5,0.5,0.2,0.3333333333333333,0.3333333333333333
19,0.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5
